listing_id,title_en,title_ur,category,tags,price,city,listing_type,price_band,currency,is_active,popularity_count,vendor_id,stock_status,description_en
52,Jewellery Piece 3,جیولری آئٹم 3,Jewellery,"['jewellery', 'accessory']",8000.00,,product,high,PKR,True,0,49,in_stock,Elegant jewellery piece number 3.
53,Jewellery Piece 4,جیولری آئٹم 4,Jewellery,"['jewellery', 'accessory']",9500.00,,product,high,PKR,True,0,49,in_stock,Elegant jewellery piece number 4.
54,Jewellery Piece 5,جیولری آئٹم 5,Jewellery,"['jewellery', 'accessory']",11000.00,,product,high,PKR,True,0,49,in_stock,Elegant jewellery piece number 5.
55,Jewellery Piece 6,جیولری آئٹم 6,Jewellery,"['jewellery', 'accessory']",12500.00,,product,high,PKR,True,0,49,in_stock,Elegant jewellery piece number 6.
56,Jewellery Piece 7,جیولری آئٹم 7,Jewellery,"['jewellery', 'accessory']",14000.00,,product,high,PKR,True,0,49,in_stock,Elegant jewellery piece number 7.
57,Jewellery Piece 8,جیولری آئٹم 8,Jewellery,"['jewellery', 'accessory']",15500.00,,product,high,PKR,True,0,49,in_stock,Elegant jewellery piece number 8.
58,Jewellery Piece 9,جیولری آئٹم 9,Jewellery,"['jewellery', 'accessory']",17000.00,,product,high,PKR,True,0,49,in_stock,Elegant jewellery piece number 9.
59,Jewellery Piece 10,جیولری آئٹم 10,Jewellery,"['jewellery', 'accessory']",18500.00,,product,high,PKR,True,0,49,in_stock,Elegant jewellery piece number 10.
60,Shoe Model 1,جوتا ماڈل 1,Shoes,"['shoes', 'footwear']",6000.00,,product,mid,PKR,True,0,50,in_stock,Comfortable and stylish shoe model 1.
61,Shoe Model 2,جوتا ماڈل 2,Shoes,"['shoes', 'footwear']",7200.00,,product,high,PKR,True,0,50,in_stock,Comfortable and stylish shoe model 2.
62,Shoe Model 3,جوتا ماڈل 3,Shoes,"['shoes', 'footwear']",8400.00,,product,high,PKR,True,0,50,in_stock,Comfortable and stylish shoe model 3.
63,Shoe Model 4,جوتا ماڈل 4,Shoes,"['shoes', 'footwear']",9600.00,,product,high,PKR,True,0,50,in_stock,Comfortable and stylish shoe model 4.
64,Shoe Model 5,جوتا ماڈل 5,Shoes,"['shoes', 'footwear']",10800.00,,product,high,PKR,True,0,50,in_stock,Comfortable and stylish shoe model 5.
65,Shoe Model 6,جوتا ماڈل 6,Shoes,"['shoes', 'footwear']",12000.00,,product,high,PKR,True,0,50,in_stock,Comfortable and stylish shoe model 6.
66,Shoe Model 7,جوتا ماڈل 7,Shoes,"['shoes', 'footwear']",13200.00,,product,high,PKR,True,0,50,in_stock,Comfortable and stylish shoe model 7.
67,Shoe Model 8,جوتا ماڈل 8,Shoes,"['shoes', 'footwear']",14400.00,,product,high,PKR,True,0,50,in_stock,Comfortable and stylish shoe model 8.
68,Shoe Model 9,جوتا ماڈل 9,Shoes,"['shoes', 'footwear']",15600.00,,product,high,PKR,True,0,50,in_stock,Comfortable and stylish shoe model 9.
69,Shoe Model 10,جوتا ماڈل 10,Shoes,"['shoes', 'footwear']",16800.00,,product,high,PKR,True,0,50,in_stock,Comfortable and stylish shoe model 10.
70,Full Bridal Makeup Package,مکمل برائیڈل میک اپ پیکیج,Beauty & Wellness,"['bridal', 'makeup', 'airbrush', 'karachi']",25000.00,,service,high,PKR,True,0,55,in_stock,"Includes airbrush foundation, eye makeup, contouring, setting spray, and full bridal look. On-location service available."
71,Hairstyling & Blow Dry,ہیئر اسٹائلنگ اور بلو ڈرائی,Hair & Makeup,"['hairstyling', 'blowdry', 'updo', 'event']",5000.00,,service,mid,PKR,True,0,55,in_stock,"Professional hairstyling including blow dry, curls, updos, and braids. Perfect for weddings and events."
72,Mehndi / Henna Application,مہندی لگانا,Bridal Services,"['mehndi', 'henna', 'bridal', 'karachi']",8000.00,,service,high,PKR,True,0,55,in_stock,Traditional and modern bridal mehndi designs. Full hands and feet. Natural henna used for deep color.
73,Wedding Photography (Full Day),شادی کی فوٹوگرافی (پورا دن),Photography,"['wedding', 'photography', 'fullday', 'lahore']",75000.00,,service,high,PKR,True,0,56,in_stock,"Full day wedding coverage — baraat, nikah, walima. 600+ edited photos delivered in 2 weeks. Online gallery included."
74,Cinematic Wedding Videography,سنیماٹک ویڈیوگرافی,Photography,"['videography', 'cinematic', 'drone', 'wedding']",90000.00,,service,high,PKR,True,0,56,in_stock,Drone + ground cinematic wedding film. 5–8 minute highlight reel + full ceremony footage. Color graded and edited.
75,Pre-Wedding Photo Shoot,پری ویڈنگ فوٹو شوٹ,Photography,"['prewedding', 'couple', 'outdoor', 'shoot']",20000.00,,service,high,PKR,True,0,56,in_stock,2-hour outdoor couple shoot. 80+ edited photos. Multiple outfit changes. Studio or on-location in Lahore.
